_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,emotion,emotion_gold,id,idiom_id,sentence
731671736,6/8/2015 15:27:42,false,1655597414,,6/8/2015 15:26:09,false,instagc,0.6667,28524232,CAN,ON,Scarborough,99.244.116.246,Neutral,,1,1,"How much of the forecast was genuine and how much was fixed, it is a moot point."
731671736,6/8/2015 15:37:09,false,1655611318,,6/8/2015 15:35:14,false,tremorgames,1.0,29121923,IRL,16,Limerick,95.45.138.162,Surprise,,1,1,"How much of the forecast was genuine and how much was fixed, it is a moot point."
731671736,6/8/2015 15:39:26,false,1655614903,,6/8/2015 15:35:53,false,points4rewards,1.0,28755767,USA,VA,Chester,68.57.118.32,Anger,,1,1,"How much of the forecast was genuine and how much was fixed, it is a moot point."
731671736,6/8/2015 15:44:22,false,1655622353,,6/8/2015 15:38:02,false,neodev,1.0,32108888,USA,CA,San Jose,50.117.41.210,Optimism,,1,1,"How much of the forecast was genuine and how much was fixed, it is a moot point."
731671736,6/8/2015 16:10:09,false,1655661485,,6/8/2015 16:05:56,false,points4rewards,0.8333,20113482,USA,CA,Pasadena,205.144.165.253,Neutral,,1,1,"How much of the forecast was genuine and how much was fixed, it is a moot point."
731671737,6/8/2015 15:56:23,false,1655640046,,6/8/2015 15:53:45,false,neodev,1.0,32108888,USA,CA,San Jose,50.117.41.210,Neutral,,2,2,"I did touch them one time you see but of course there was nothing doing, he wanted me."
731671737,6/8/2015 15:58:20,false,1655642822,,6/8/2015 15:48:14,false,elite,1.0,30312592,CAN,ON,Sudbury,66.103.55.12,Love,,2,2,"I did touch them one time you see but of course there was nothing doing, he wanted me."
731671737,6/8/2015 15:59:38,false,1655644923,,6/8/2015 15:54:34,false,points4rewards,0.8333,20113482,USA,CA,Pasadena,205.144.165.253,Submission,,2,2,"I did touch them one time you see but of course there was nothing doing, he wanted me."
731671737,6/8/2015 16:08:08,false,1655658088,,6/8/2015 15:55:39,false,neodev,1.0,11314968,CAN,BC,"",173.180.132.26,Ambiguous,,2,2,"I did touch them one time you see but of course there was nothing doing, he wanted me."
731671737,6/12/2015 14:33:13,false,1660534680,,6/12/2015 14:31:00,false,clixsense,0.8,19638651,USA,SC,Summerville,174.107.73.211,Neutral,,2,2,"I did touch them one time you see but of course there was nothing doing, he wanted me."
731671738,6/8/2015 15:27:42,false,1655597412,,6/8/2015 15:26:09,false,instagc,0.6667,28524232,CAN,ON,Scarborough,99.244.116.246,Neutral,,3,3,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.
731671738,6/8/2015 15:37:09,false,1655611319,,6/8/2015 15:35:14,false,tremorgames,1.0,29121923,IRL,16,Limerick,95.45.138.162,Anger,,3,3,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.
731671738,6/8/2015 15:39:26,false,1655614900,,6/8/2015 15:35:53,false,points4rewards,1.0,28755767,USA,VA,Chester,68.57.118.32,Ambiguous,,3,3,We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.
