scene,anger,disgust,fear,joy,sadness,surprise,neutral
1,2.6315789473684212,0.0,0.0,0.0,0.0,0.0,97.36842105263158
2,0.0,0.0,0.0,10.0,0.0,10.0,80.0
3,0.0,0.0,0.0,20.0,0.0,0.0,80.0
4,0.0,0.0,0.0,66.66666666666667,0.0,0.0,33.333333333333336
5,4.0,0.0,6.0,6.0,2.0,2.0,80.0
6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,4.761904761904762,0.0,0.5952380952380952,4.761904761904762,1.7857142857142858,2.380952380952381,85.71428571428571
8,0.0,0.0,0.0,0.0,0.0,0.0,100.0
9,1.1627906976744187,0.0,4.651162790697675,10.465116279069768,3.488372093023256,3.488372093023256,76.74418604651163
10,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11,1.3157894736842106,0.0,2.6315789473684212,22.36842105263158,0.0,1.3157894736842106,72.36842105263158
12,1.7543859649122806,0.0,3.508771929824561,8.771929824561404,1.7543859649122806,0.0,84.21052631578948
13,3.4482758620689653,0.0,6.896551724137931,10.344827586206897,0.0,0.0,79.3103448275862
14,0.0,0.0,0.0,16.666666666666668,0.0,0.0,83.33333333333333
15,0.0,0.0,0.0,0.0,0.0,0.0,100.0
16,0.0,0.0,3.0303030303030303,9.090909090909092,3.0303030303030303,3.0303030303030303,81.81818181818181
17,0.0,0.0,0.0,50.0,0.0,0.0,50.0
18,4.545454545454546,0.0,4.545454545454546,11.363636363636363,0.0,0.0,79.54545454545455
19,2.4096385542168677,0.0,4.819277108433735,3.6144578313253013,1.2048192771084338,1.2048192771084338,86.74698795180723
20,0.0,0.0,0.0,0.0,0.0,0.0,100.0
21,3.2967032967032965,0.0,3.2967032967032965,14.285714285714286,1.098901098901099,5.4945054945054945,72.52747252747253
22,0.0,0.0,0.0,25.0,0.0,0.0,75.0
23,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24,0.0,0.0,0.0,0.0,0.0,0.0,100.0
25,0.0,0.0,50.0,0.0,0.0,0.0,50.0
26,10.0,0.0,0.0,5.0,5.0,5.0,75.0
27,0.0,0.0,3.0303030303030303,0.0,6.0606060606060606,0.0,90.9090909090909
28,0.0,0.0,0.0,0.0,0.0,0.0,100.0
29,0.0,0.0,4.166666666666667,4.166666666666667,4.166666666666667,0.0,87.5
30,0.0,0.0,0.0,25.0,0.0,0.0,75.0
31,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32,0.0,0.0,0.0,11.538461538461538,0.0,7.6923076923076925,80.76923076923077
33,0.0,0.0,0.0,0.0,0.0,0.0,100.0
34,4.0,0.0,4.0,4.0,0.0,4.0,84.0
35,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,83.33333333333333
36,1.6129032258064515,0.0,1.6129032258064515,4.838709677419355,1.6129032258064515,1.6129032258064515,88.70967741935483
37,0.0,0.0,0.0,0.0,0.0,0.0,100.0
38,0.0,0.0,0.0,0.0,50.0,0.0,50.0
39,0.0,0.0,0.0,0.0,0.0,20.0,80.0
40,0.0,0.0,7.407407407407407,18.51851851851852,0.0,0.0,74.07407407407408
41,0.0,0.0,0.0,0.0,0.0,0.0,100.0
42,0.0,0.0,3.0303030303030303,6.0606060606060606,3.0303030303030303,0.0,87.87878787878788
43,0.0,0.0,0.0,0.0,0.0,0.0,100.0
44,2.857142857142857,0.0,5.714285714285714,22.857142857142858,0.0,0.0,68.57142857142857
45,0.0,0.0,0.0,20.0,0.0,0.0,80.0
46,0.0,0.0,0.0,16.666666666666668,0.0,0.0,83.33333333333333
47,0.0,0.0,5.882352941176471,0.0,0.0,5.882352941176471,88.23529411764706
48,8.571428571428571,2.857142857142857,2.857142857142857,2.857142857142857,0.0,2.857142857142857,80.0
49,10.0,0.0,2.0,10.0,4.0,0.0,74.0
50,0.0,0.0,0.0,0.0,0.0,20.0,80.0
51,4.1420118343195265,0.0,2.366863905325444,4.733727810650888,1.183431952662722,3.5502958579881656,84.02366863905326
52,11.11111111111111,0.0,0.0,11.11111111111111,0.0,0.0,77.77777777777777
53,2.127659574468085,0.0,2.127659574468085,2.127659574468085,4.25531914893617,2.127659574468085,87.23404255319149
54,0.0,0.0,0.0,0.0,0.0,0.0,100.0
55,0.0,0.0,0.0,0.0,0.0,0.0,100.0
56,0.0,0.0,0.0,0.0,0.0,0.0,100.0
57,0.0,0.0,5.555555555555555,0.0,0.0,5.555555555555555,88.88888888888889
58,0.0,0.0,0.0,0.0,0.0,0.0,100.0
59,0.0,0.0,0.0,6.25,0.0,0.0,93.75
60,0.0,0.0,4.166666666666667,8.333333333333334,0.0,0.0,87.5
